重安醫院    842高雄市旗山區大仁街18號
高雄縣阿蓮鄉終生教育協會    822高雄市阿蓮區中正路408巷36弄17號
世界紅卍字會台灣總主會 106台北市大安區復興南路一段305號14樓
中華民國軍文教育推廣協會    802高雄市苓雅區中正一路150號6樓之1
台北市私立主恩老人養護所    104台北市中山區林森北路67巷43號1樓
台北市私立全家老人養護所    112台北市北投區行義路96巷1號1、2樓
台北市私立台欣老人養護所    103台北市大同區延平北路三段4號2樓
台北市私立延吉老人養護所    106台北市大安區延吉街62巷6弄4號1樓
台北市私立慈恩老人養護所    112台北市北投區裕民六路90巷17號1樓
台北市私立慈惠老人養護所    112台北市北投區大興街9巷67號3、4樓
台北市私立新常安老人養護所   106台北市大安區安居街46巷14號1樓
台北市私立日麗老人養護所    100台北市中正區延平南路248巷5號1樓
台北市私立榮康老人養護所    112台北市北投區明德路18巷3弄1號1樓
台北市私立榮祥老人養護所    112台北市北投區文林北路166巷5弄2號
台東縣原住民社會福利促進協會  950台東縣台東市四維路三段72號
台灣基層福音差傳會   104台北市中山區長安東路二段171號11樓之一
台灣廣緣慈善聯合協會  420台中市豐原區豐田里南陽路59巷34之1號
屏東縣城鄉發展文教基金會    920屏東縣潮州鎮永春里永康街202-1號
屏東縣潮州鎮青年服務協會    920屏東縣潮州鎮新榮里中山路189-1號
屏東縣竹田鄉青年服務協會    911屏東縣竹田鄉頭崙村三崗路6之1號
彰化縣博愛老人養護中心 522彰化縣田尾鄉南鎮村平和路一段73號
彰化縣吉祥老人養護中心 500彰化縣彰化市永福里光復路25號2-4樓
彰化縣馨園老人長期照護中心   503彰化縣花壇鄉白沙村溪北街17號
新北市馨圓單親家庭服務中心   238新北市樹林區保安街一段7號3樓
桃園縣私立伯園養護中心 330桃園縣桃園市桃園市三民路三段88號
桃園縣私立大園養護中心 337桃園縣大園鄉大園鄉圳頭村6鄰33-8號
桃園縣私立建元養護中心 330桃園縣桃園市桃園市大豐路56號1-2樓
法律扶助金金會新竹分會 300新竹市新竹市北區北大路180號3樓A室
社團法人中華民國康復之友聯盟  100台北市中正區紹興北街8號6樓
社團法人中華消防及減災學會   100台北市中正區光復里博愛路60號
社團法人台中市社會關懷服務協會 401台中市東區精武路113巷58號
社團法人台中市視障生家長協會  404台中市北區永興街298巷6弄8號
社團法人台中市身心障礙者體育會 403台中市西區金山路18-3號4樓
社團法人台南市好厝邊全人關懷協會    720台南市官田區勝利路58號
社團法人台東縣天主教愛德婦女協會    950台東縣台東市杭州街34號
社團法人台東縣志願服務協會   950台東縣台東市傳廣路69巷17弄9號
社團法人台灣國際家庭互助協會  830高雄市鳳山區凱旋路375巷14號
社團法人台灣城鄉發展協會    407台中市西屯區惠來里惠中一街30號
社團法人台灣露德協會  100台北市中正區中山北路一段2號2樓203室
社團法人宜蘭縣學習障礙者發展協會    265宜蘭縣羅東鎮站東路66號
社團法人屏東縣向陽啟能協會   900屏東縣屏東市林森路東五段17號
社團法人屏東縣癲癇之友服務協會 900屏東縣屏東市忠孝路155-6號
社團法人彰化縣志願服務協會   510彰化縣員林鎮新生里南和街62號
社團法人彰化縣關懷兒童服務協會 505彰化縣鹿港鎮中山南路28號
社團法人新北市殘障福利服務協會 243新北市泰山區中央路5巷8號
社團法人新北市身心障礙者弘德協會    220新北市板橋區和平路62號
社團法人新竹縣康復之友協會   310新竹縣竹東鎮中豐路一段115號5F
社團法人臺南市慈光心智關懷協會 723台南市西港區西港里45-34號
社團法人雲林縣二崙鄉老人會   649雲林縣二崙鄉東村中華路2巷9號
社團法人雲林縣蒲公英服務關懷協會    646雲林縣古坑鄉高林村50號
社團法人雲林縣身心照護協會   630雲林縣斗南鎮東仁里文昌路40號
社團法人高雄市啟智協進會    802高雄市苓雅區四維四路190號5樓之1
社團法人高雄市心聯老人福利協會 800高雄市新興區南台橫路43號
社團法人高雄市慈賢慈善會    802高雄市苓雅區建軍里建軍路166-3號
社團法人高雄市路竹社會福利協會 821高雄市路竹區中華路337-1號
社團法人高雄縣大岡山康復之友協會    820高雄市岡山區民族路86號
社團法人高雄縣生命線協會鳳山會址    830高雄市鳳山區福祥街78號
臺南市身心障者生涯轉銜中心   708台南市安平區永華路二段6號7樓
苗栗縣通霄鎮銀髮族福利協進會  357苗栗縣通霄鎮平新路123之10號
財團法人兆豐慈善基金會 100台北市中正區忠孝東路二段123號20樓
財團法人台中市慈善寺文教基金會 406台中市北屯區柳陽東街23號
財團法人台北市私立平安老人養護所    106台北市大安區安居街27號
財團法人台灣世界展望會中濱中心 433台中市沙鹿區福幼街8號1樓
財團法人慶興社會福利基金會   632雲林縣虎尾鎮延平里下南45-26號
財團法人新光人壽慈善基金會   100台北市中正區忠孝西路一段66號
財團法人瑪利亞社會福利基金會  403台中市西區柳川東路二段73號
財團法人生命之愛文教基金會   360苗栗縣苗栗市水源里金鳳街22號
財團法人私立廣恩老人養護中心  248新北市五股區水碓二路1號3樓
財團法人臺灣更生保護會臺中分會 403台中市西區自由路一段91號
財團法人若竹兒教育基金會    621嘉義縣民雄鄉大崎村大丘園18-23號
財團法人華科事業群慈善基金會  231新北市新店區民權路48-3號5樓
財團法人陽光社會福利基金會(南區)   813高雄市左營區安吉街449號
雲林縣口湖鄉老人福利協進會   653雲林縣口湖鄉下崙村福安路91號
高雄市政府社會局陽光家園    804高雄市鼓山區鼓岩郵局20-12號信箱
高雄市美濃美新老人福利協會   843高雄市美濃區瀰濃里博愛街25號
高雄縣六龜鄉老人福利協進會   844高雄市六龜區義寶村光復路70號
高雄縣旗山鎮老人福利協進會   842高雄市旗山區湄洲里永安街20號
世界展望會海端鄉家婦中心    957台東縣海端鄉坎頂村中福路1鄰36號
世界展望會附設阿里山鄉家婦中心 605嘉義縣阿里山樂野村3鄰95號
中華勇者瑜伽服務協會  100台北市中正區羅斯福路五段150巷49號4樓
中華單親家庭互助協會  105台北市松山區民生東路五段69巷21弄15號
中華民國發展遲緩兒童早期療育協會    970花蓮縣花蓮市華西路123號
中華民國紅十字會台灣省台東縣支會    950台東縣台東市新生路176號
中華民國關懷腦瘤兒童協會    112台北市北投區裕民六路101巷28號3樓
台北市永健長青促進協會 106台北市大安區建國南路二段11巷28-1號
台北市私立仁群老人養護所    100台北市中正區民族東路512巷14號1樓
台北市私立仁義老人養護所    112台北市北投區石牌路二段349號1-2樓
台北市私立全民老人養護所    112台北市北投區石牌路二段317號1-2樓
台北市私立再生老人養護所    112台北市北投區石牌路二段325巷1-2樓
台北市私立平一老人養護所    110台北市信義區莊敬路423巷6弄1號1樓
台北市私立愛馨園老人養護所   110台北市信義區吳興街600巷66號1樓
台北市私立敬恩老人養護所    106台北市大安區通化街162巷2之1號1樓
台北市私立長旺老人養護所    103台北市大同區酒泉街103巷1之1號1樓
台北市西區單親家庭服務中心   103台北市大同區迪化街一段21號7樓
台東縣公私協力托育資源中心   成功站 961台東縣成功鎮三民路18號
台東縣政府社會局(婦幼福利課) 950台東縣台東市桂林北路201號3樓
台灣基督教青年會協會  104台北市中山區長安東路二段171號11樓之1
台灣基督長老教會武陵教會    953台東縣延平鄉武陵村明野路3鄰44號
嘉義縣傳愛全人關懷協會 608嘉義縣水上鄉柳新村7鄰柳子林48-10號
國際青年商會中華民國總會    105台北市松山區南京東路四段45號8樓
基隆市生活美學協會   204基隆市安樂區嘉仁里安樂路1段8鄰147號4樓
天主教會附設花蓮市家婦中心   970花蓮縣花蓮市民立里中美路168號
屏東縣原住民婦女關懷協會    912屏東縣內埔鄉水門村中山路108之號
屏東縣屏東市社區舞蹈運動發展協會    900屏東縣屏東市民教路165號
彰化縣光田老人養護中心 522彰化縣田尾鄉饒平村光復路二段560號
彰化縣愛心老人養護中心 512彰化縣永靖鄉崙美村獨鰲路二段205號
彰化縣身心障礙福利服務中心   522彰化縣田尾鄉北曾村福德巷343號
新竹縣再就業人力開發促進會   310新竹縣竹東鎮自由街120巷17號1樓
桃園縣八德市祥合發展協會    334桃園縣八德市介壽路二段1193巷31號
桃園縣木匠的家關懷協會 320桃園縣中壢市中壢中中北路二段387號
桃園縣私立松林養護中心 333桃園縣龜山鄉龜山鄉復興北路6巷46號
社團中華民國老人福利協進會法人 110台北市信義區信安街78號2樓
社團法人中華民國南洋台灣姊妹會 234新北市永和區忠孝街15號1樓
社團法人中華民國南洋台灣姐妹會 843高雄市美濃區中山路1段25號
社團法人中華民國弘道志工協會  404台中市北區賴村里大雅路230號
社團法人中華民國關愛生命慈善協會    970花蓮縣花蓮市中山路717號
社團法人南投縣協力關懷福利協會 545南投縣埔里鎮八德路17號3樓
社團法人南投縣慈慧善行協會   552南投縣集集鎮和平里民生路342號
社團法人台中市脊髓損傷者協會  408台中市南屯區東興路一段450號
社團法人台中縣木棉花愛縣關懷協會    436台中市清水區五權路166號
社團法人台中縣褓母協會 411台中市太平區東平里6鄰東村八街30號
社團法人台中縣霧峰鄉婦幼保護協會    413台中市霧峰區林森路832號
社團法人台北市婦女新知協會   106台北市大安區信義路二段74號8樓
社團法人台北市角落關懷協會   103台北市大同區承德路三段12號4樓
社團法人台南市康復之友協會   701台南市東區東門路三段179巷143號
社團法人台南市慈光身障協會   700台南市中西區臨安路一段89號4樓
社團法人台南市腦性麻痺之友協會 704台南市北區勝利路421號五樓
社團法人台灣失智症協會 100台北市中正區南昌路二段206號10樓之1
社團法人台灣安心家庭關懷協會  950台東縣台東市中華路二段173號
社團法人台灣數位有聲書推展學會 108台北市萬華區康定路64號5樓
社團法人台灣社區照顧協會    104台北市中山區民生東路一段70號8樓
社團法人宜蘭縣智障者權益促進會 265宜蘭縣羅東鎮天祥路52號1樓
社團法人宜蘭縣聽障者聲暉協會  265宜蘭縣羅東鎮光榮路269-6號3樓
社團法人屏東縣自閉症協進會   900屏東縣屏東市建豐路180巷35號5樓
社團法人彰化縣自閉症肯納家長協會    500彰化縣彰化市陳稜路207號
社團法人新竹市心理衛生協會(希望工坊  ) 300新竹市北大路89號3樓
社團法人新竹市智障福利協進會  300新竹市東區南大路672巷3弄22號
社團法人新竹縣身心障礙者扶助協會    310新竹縣竹東鎮學府路106號
社團法人花蓮縣兒童暨家庭關懷協會    973花蓮縣吉安鄉建昌路172號
社團法人花蓮縣新象社區交流協會 970花蓮縣花蓮市鎮國街15號2樓
社團法人花蓮縣老人暨家庭關懷協會    970花蓮縣花蓮市中華路486號
社團法人雲林縣褒忠鄉老人會   634雲林縣褒忠鄉中民村中正路451號
社團法人雲林縣西螺鎮老人會   648雲林縣西螺鎮福興里修文路246號
社團法人高雄市天晴女性願景協會 807高雄市三民區博愛一路266號
社團法人高雄縣聾啞福利協進會  830高雄市鳳山區新富路號樓
臺中市犁頭店婦女福利服務中心  408台中市南屯區東興路一段450號
臺南市政府無障礙福利之家    701台南市東區大學里林森路二段500號
花蓮縣工商青年社會服務協會   973花蓮縣吉安鄉民治路336巷28弄8號
財團法人中華基督教福音信義傳道會    423台中市東勢區東崎街387號
財團法人利河伯社會福利基金會  406台中市北屯區松竹路二段180號
財團法人台灣世界展望會台中中心 403台中市西區五權路1-67號17樓
財團法人台灣基督長老教會美崙教會    970花蓮縣花蓮市民權路119號
財團法人台灣省私立台灣盲人重建院    242新北市新莊區中正路384號
財團法人台灣省私立羅許慈善基金會    265宜蘭縣羅東鎮博愛路110號
財團法人台灣省私立鴻佳啟能庇護中心   702台南市南區清水路222號
財團法人吉祥臻社會福利事業基金會    813高雄市左營區先鋒路293號
財團法人嘉義市私立瑞泰老人長期照護中心 600嘉義市玉山路669號
財團法人宜蘭縣私立懷哲復康之家 266宜蘭縣三星鄉大隱五路259號
財團法人桃園縣基督教聖經教會  320桃園縣中壢市新生路二段421號
財團法人正德社會福利慈善基金會 103台北市大同區民權西路125號
財團法人漢慈公益基金會 300新竹市新竹市東區公道五路二段202號
財團法人聖功社會福利慈善基金會 802高雄市苓雅區五福三路149號
財團法人雲林縣私立信義育幼院  630雲林縣斗南鎮將軍里將軍188號
財團法人高雄市私立佛教淨覺育幼院    807高雄市三民區正忠路453號
財團法人黃烈火社會福利基金會  320桃園縣中壢市中豐北路63號1樓
高雄市基督教老人關懷協會-舊城站    813高雄市左營區左營大路20號
高雄縣仁武鄉慈暉志願服務協會  814高雄市仁武區中正路九十八號
高雄縣大寮鄉老人福利協進會   831高雄市大寮區中庄村中庄路134號
高雄縣橋頭鄉老人福利協進會   825高雄市橋頭區甲北村甲圍路113號
鹿野鄉社區健康促進協會 955台東縣鹿野鄉瑞隆村瑞景路一段119號
世界和平婦女會台灣總會 106台北市大安區羅斯福路二段95號7樓之2
中國青年救國團基隆市團務指導委員會   200基隆市仁愛區獅球路8號
台北市文山社會福利服務中心   116台北市文山區興隆路二段160號6樓
台北市私立一心老人養護所    100台北市中正區紹興北街31巷21號1-2樓
台北市私立仁仁老人養護所    105台北市松山區南京東路五段356號2樓
台北市私立倚青苑老人養護所   110台北市信義區中坡北路21號1之2樓
台北市私立健全老人養護所    106台北市大安區金山南路二段152號3樓
台北市私立全成老人養護所    114台北市內湖區環山路二段26巷1、2樓
台北市私立大慶老人養護所    104台北市中山區建國北路二段186巷7號
台北市私立新建安老人養護所   106台北市大安區安居街60巷18號1-2樓
台北市私立暘明老人養護所    112台北市北投區建民路162巷11之1號1樓
台北市私立楓橋團體家庭 110台北市信義區信義路五段150巷316號3樓
台北市私立長泰老人養護所    110台北市信義區吳興街284巷18弄4號1樓
台北市私立陽光老人養護所    114台北市內湖區陽光街68巷145號1、2樓
台南市基督教青年會建平日間照顧中心   708台南市安平區建平路2號
嘉義縣梅山鄉生活重建服務中心  603嘉義縣梅山鄉瑞里村5鄰55號2樓
宜蘭縣康健老人福利關懷協會   270宜蘭縣蘇澳鎮朝陽里朝陽路22-1號
屏東縣私立無量壽老人養護中心  911屏東縣竹田鄉二崙村忠義路7號
屏東縣高樹鄉民俗推展協會    906屏東縣高樹鄉舊庄村12鄰光復路57號
彰化縣仁堡老人長期照護中心   503彰化縣花壇鄉中山路一段40巷66號
彰化縣新仁愛老人養護中心    500彰化縣彰化市延平路475巷9號1樓.2樓
愛德婦女協會附設長濱鄉家婦中心 962台東縣長濱鄉竹湖村13鄰28號
桃園縣手語翻譯服務中心 334桃園縣八德市介壽路二段901巷49弄91號
社團法人中華傳愛社區服務協會  404台中市北區中清路一段447號8樓
社團法人中華民國單親家庭關懷協會    220新北市板橋區和平路71-1號
社團法人中華民國聲暉聯合會   427台中市潭子區中山路一段185巷1號
社團法人中華民國道德重整協會  701台南市東區育樂街148巷17弄50號
社團法人中華視障聯盟  110台北市信義區雅祥里18鄰松信路35號三樓
社團法人南投縣名間鄉老人會   551南投縣名間鄉中正村庄仔巷24-1號
社團法人南投縣生活重建協會   544南投縣國姓鄉福龜村長壽巷83-3號
社團法人台灣社會工作管理學會  545南投縣埔里鎮桃米里大學路1號
社團法人嘉義縣仁里慈濟會    606嘉義縣中埔鄉社口村檨仔林43之20號
社團法人基隆市智障者家長協會  200基隆市仁愛區孝三路99巷7號1樓
社團法人宜蘭縣光鹽生命關懷協會 260宜蘭縣宜蘭市農權路147號2樓
社團法人宜蘭縣康復之友協會   260宜蘭縣宜蘭市神農路二段57巷23號
社團法人彰化縣愛鄰社會福利協會 500彰化縣彰化市三民路407號3樓
社團法人新北市康復之友協會   220新北市板橋區莒光路15巷17號五樓
社團法人新北市自閉症服務協進會 241新北市三重區溪尾街109號3樓
社團法人桃園縣生命線協會    330桃園縣桃園市大興西路二段61號13樓
社團法人臺中市蓮心自強服務協會 437台中市大甲區文曲路598巷6號
社團法人雲林縣社會關懷協會   640雲林縣斗六市中南路290巷67弄26號
社團法人雲林縣脊髓損傷者協會  640雲林縣斗六市林頭里林頭21-5號
社團法人高雄市康復之友協會   801高雄市前金區中華三路98號5樓之4
臺中縣后里鄉舊社社區發展協會  421台中市后里區舊社村三線路2號
臺北市中正國宅銀髮族服務中心  108台北市萬華區青年路52號1樓之2
臺北市西湖老人日間照顧中心   114台北市內湖區內湖路一段285號6樓
財團法人中華基督教廈門街浸信會 100台北市中正區廈門街81巷20號
財團法人勵馨社會福利事業基金會 231新北市新店區順安街2-1號1樓
財團法人台北市私立仁愛院頤養園 114台北市內湖區文德路66巷99號
財團法人台北市私立同舟發展中心 111台北市士林區中正路420號2樓
財團法人台南縣私立豐德教養院  723台南市西港區檨林村太西1-34號
財團法人台灣世界展望會苗栗中心 363苗栗縣公館鄉玉泉村367號4樓
財團法人台灣基督教主愛之家輔導中心   972花蓮縣秀林鄉佳民村1號
財團法人台灣癌症基金會 105台北市松山區南京東路五段16號5樓之2
財團法人台灣省私立毓得社會福利基金會  401台中市東區六順路7號
財團法人張老師基金會彰化張老師中心   500彰化縣彰化市卦山路2號
財團法人彩色盤教育基金會    900屏東縣屏東市泰安里8鄰忠孝路161號
財團法人彰化縣私立基督教喜樂保育院   526彰化縣二林鎮二城路7號
財團法人桃園縣私立長長教養院  335桃園縣大溪鎮文化路75巷1號1樓
財團法人白曉燕文教基金會    106台北市大安區復興南路二段285號2樓
財團法人臺灣更生保護會基隆分會 201基隆市信義區東信路169號7樓
財團法人苗栗縣私立廣愛教養院  364苗栗縣大湖鄉靜湖村10上坪88號
財團法人關懷文教基金會 500彰化縣彰化市卦山里17鄰大智路5巷1號
財團法人陶聲洋防癌基金會    106台北市大安區羅斯福路三段277號4樓
高雄縣林園鄉魔法屋愛鄉協會   832高雄市林園區仁愛村文賢北路6號
高雄縣永安鄉老人福利協進會   828高雄市永安區永華村永安路49-1號
世界展望會附設宜蘭縣南澳鄉家婦中心   270宜蘭縣蘇澳鎮大通路32號
中華心理衛生協會    103台北市大同區民權里24鄰民權西路136號16樓之1
中華民國愛盲協會    104台北市中山區台北市長安東路一段16號10樓之7
中華青少年純潔運動協會 106台北市大安區羅斯福路三段245號9樓之2
內政部北區老人之家頤苑自費安養中心   231新北市新店區屈尺路81號
南投縣竹山鎮鳳山堂慈善會    557南投縣竹山鎮雲林里大忠路135巷29號
台北市婦女福利服務中心 111台北市士林區忠誠路二段53巷7號7～8樓
台北市私立上上老人養護所    106台北市大安區復興南路一段279巷14號
台北市私立佳群老人養護所    112台北市北投區石牌路二段90巷19號1樓
台北市私立常青老人養護所    110台北市信義區吳興街284巷22弄51號1樓
台北市私立康庭老人養護所    110台北市信義區信義路六段15巷16號1樓
台北市私立廣福老人養護所    112台北市北投區石牌路二段90巷19號2樓
台北市私立怡安老人養護所    112台北市北投區中和街441巷7弄2號1-2樓
台北市私立慧誠老人養護所    116台北市文山區木柵路二段165號2、3樓
台北市私立新榕樹園老人養護所  111台北市士林區磺溪街55巷11號1樓
台北市私立杏安老人養護所    116台北市文山區忠順街一段20巷13弄2號
台北市私立東平老人養護所    116台北市文山區木新路二段161巷4號1樓
台北市私立柏安老人養護所    111台北市士林區中山北路六段290巷52號
台北市私立義行老人養護所    112台北市北投區石牌路二段357巷3號1樓
台北市私立華生老人養護所    112台北市北投區石牌路二段325巷8號1樓
台北市私立行義老人養護所    112台北市北投區石牌路二段357巷1號1樓
台東縣社會青年服務協會 950台東縣台東市四維路三段59巷8號5樓之4
台灣區預備役志願役國防幹部協會 326桃園縣楊梅市高榮里2鄰42-3號
台灣家庭關懷成長協會  520彰化縣田中鎮頂潭里員集路三段520巷22號
台灣心理衛生社會工作學會    105台北市松山區八德路四段604號2樓之6
屏東縣屏東市長青學苑服務協會  900屏東縣屏東市華山里華正路95號
屏東縣竹田鄉社區關懷服務協會  911屏東縣竹田鄉竹田村中正路20號
屏東縣霧台鄉神山基督長老教會  902屏東縣霧台鄉霧台村中山巷76號
彰化縣全祥老人養護中心 500彰化縣彰化市台鳳里互助1街5巷95號1樓
彰化縣溪湖老人長期照顧中心   514彰化縣溪湖鎮媽厝里湳底路89-38號
桃園縣新屋鄉婦女愛心發展協會  327桃園縣新屋鄉新生村中興路66號
桃園縣私立佳心安養護中心    325桃園縣龍潭鄉龍潭鄉中興路211巷30號
桃園縣私立家悅養護中心 330桃園縣桃園市桃園市新生路165號5樓之2
法律扶助金金會南投分會 540南投縣南投市南投縣南投市復興路76號
澎湖縣私立慈安養護中心 884澎湖縣白沙鄉澎湖縣白沙鄉中屯村99號
社團法人中華台灣基督教曠野協會 313新竹縣尖石鄉錦屏村6鄰16-2號
社團法人中華民國傷殘宏恩協會  238新北市樹林區俊英街219巷1弄2號
社團法人中華民國喜願協會    105台北市松山區南京東路三段305號11樓
社團法人南投縣傷殘協進會    551南投縣名間鄉新街村彰南路354之號
社團法人南投縣家長關懷教育協會 540南投縣南投市民生街33-3號2樓
社團法人台中市婦幼關懷成長協會 404台中市北區大雅路57號13樓之1
社團法人台北市脊髓損傷者協會  108台北市萬華區貴陽街二段3號之2
社團法人台南市聾啞福利協進會  704台南市北區開南街275巷十弄30號
社團法人台灣原住民農經發展協會 976花蓮縣光復鄉中山路二段84號
社團法人台灣多元教育發展協會  406台中市北屯區崇德二路二段33號
社團法人台灣海洋性貧血協會   100台北市中正區常德街1號景福館2樓
社團法人台灣老人福利機構協會  404台中市北區文心路四段200號11F-2
社團法人嘉義縣精神康扶之友協會 604嘉義縣竹崎鄉灣橋村18鄰263號
社團法人嘉義縣脊髓損傷者協會  602嘉義縣番路鄉下坑村下坑8之1號
社團法人基隆市聾啞福利協進會  202基隆市中正區中正路102號7樓之5
社團法人彰化縣肢體傷殘協進會  511彰化縣社頭鄉新厝村新興巷81號
社團法人彰化縣視障者關懷協會  500彰化縣彰化市南興里義興街15號
社團法人新北市智障者家長協會  220新北市板橋區大同街21巷15號1樓
社團法人桃園縣宣愛社區關懷協會 320桃園縣中壢市興平路45號一樓
社團法人臺中市山海屯國際生命線協會   420台中市豐原區明義街46號
社團法人花蓮縣脊髓損傷福利協進會    970花蓮縣花蓮市順興路3號5樓
社團法人雲林縣愛加倍愛家協會  643雲林縣林內鄉林中村新興路81號
社團法人雲林縣生命線協會    640雲林縣斗六市莊敬路347巷30弄37號4樓
社團法人雲林縣聲暉協進會    630雲林縣斗南鎮西岐里31鄰文昌路536號
社團法人高雄縣憨兒就業輔導協會 843高雄市美濃區中山路一段23號
臺北市政府社會局身心障礙福利會館    104台北市中山區長安西路15號
苗栗縣新移民家庭服務中心-苗栗區    360苗栗縣苗栗市為公路456號3樓
調色板兒童玩具圖書館  801高雄市前金區高雄市前金區民生二路39號
財團法人伊甸社會基金會宜蘭分事務所   260宜蘭縣宜蘭市慈安路27號
財團法人台北市光智社會事業基金會    111台北市士林區通河街137號B1
財團法人台北市私立陽明養護中心 112台北市北投區公館路209巷18號
財團法人台東縣私立牧心智能發展中心   950台東縣台東市民航路21號
財團法人台灣省私立孝愛仁愛之家 920屏東縣潮州鎮四維路189巷13號
財團法人嘉義市私立修緣育幼院  600嘉義市嘉義市西區永春二街30號
財團法人天主教善牧社會福利基金會附設靜心家園  郵政8-310號信箱
財團法人天主教曉明社會福利基金會    404台中市北區漢口路四段21號
財團法人「張老師」基金會台南中心    701台南市東區大學路西段65號
財團法人彰化縣私立博愛服務中心 500彰化縣彰化市南郭路一段60號
財團法人新竹縣私立保順養護中心 307新竹縣芎林鄉福昌街134巷19號
財團法人林國長先生紀念基金會  104台北市中山區南京東路一段27號
財團法人雲林縣私立同仁仁愛之家 643雲林縣林內鄉林茂村復興34號
財團法人雲林縣私立同仁仁愛之家 643雲林縣林內鄉林茂村復興34號
財團法人高雄市私立紅十字會育幼中心   804高雄市鼓山區登山街28號
高雄市政府社會局長青綜合服務中心    802高雄市苓雅區四維二路51號
中華民國台灣音樂藝術協會    台北市西屯區港尾里27鄰中康街121號2樓
中華民國基督教女青年會協會澎湖分會   880澎湖縣馬公市光復路257號
中華民國基督教女青年會協會苗栗分會   360苗栗縣苗栗市正發路128號
中華民國婚姻感情家庭暴力關懷協會    221新北市汐止區復興路17號7樓
中華民國智障者體育運動協會   104台北市中山區圓山里11鄰玉門街1號
中華民國殘障聯盟    106台北市大安區大學里12鄰羅斯福路三段281號9樓
中華民國類風濕性關節炎之友協會 112台北市北投區石牌路二段201號
台北市中正區社會福利服務中心  100台北市中正區濟南路二段46號2樓
台北市政府社會局延吉平價住宅  106台北市大安區延吉街236巷17號1樓
台北市政府社會局老人保護專線  110台北市信義區信義路五段17號8樓
台北市社會局北投社會福利服務中心    112台北市北投區新市街30號5樓
台北市私立仁和老人養護所    106台北市大安區大安路一段206巷20號1樓
台北市私立安輝老人養護所    115台北市南港區研究院路一段2號2樓之3
台北市私立康福老人養護所    112台北市北投區石牌路二段315巷28弄1樓
台北市私立明暉老人養護所    106台北市大安區安和路一段102巷16號1樓
台北市私立欣欣老人養護所    105台北市松山區光復南路32巷46之4號1樓
台北市私立永安老人養護所    103台北市大同區重慶北路三段286號1-4樓
台北市私立湖濱老人養護所    114台北市內湖區內湖路二段179巷60號1樓
台北市私立瑞暉老人養護所    112台北市北投區石牌路二段315巷34弄1樓
台北市私立祥暉老人養護所    112台北市北投區石牌路二段315巷16弄1樓
台北市私立祥緯老人養護所    112台北市北投區石牌路二段315巷22號1樓
台北市私立祥霖老人養護所    112台北市北投區石牌路二段315巷16弄1樓
台北市私立長暉老人養護所    112台北市北投區石牌路二段315巷34弄1樓
台北市私立靜暉老人養護所    112台北市北投區石牌路二段343巷14號1樓
台北市肢體傷殘重建協進會    103台北市大同區南京西路18巷26之2號1樓
台東縣達仁鄉夢馨羽原住民部落發展協會  966台東縣達仁鄉土?村45號
台灣社區居住與獨立生活聯盟   403台中市西區公館里柳川東路2段73號
台灣社會工作專業人員協會    100台北市中正區中山北路一段二號六樓
台灣福利厚生學會    912屏東縣內埔鄉老埤村學府路1號(屏科大社工系)
台灣青果合作社長青會  114台北市內湖區麗山里6鄰麗山街362之1號4樓
國軍左營總醫院左楠居家服務支援中心   813高雄市左營區軍校路553號
屏東縣原住民社會福利推展促進協會    901屏東縣三地門三地村5鄰22號
屏東縣屏東市大武長青服務協會  900屏東縣屏東市大武里大武路141號
屏東縣身心障礙者生涯轉銜暨通報中心   900屏東縣屏東市自由路527號
彰化縣崇愛老人長期照護中心   500彰化縣彰化市金馬路三段912號2-5樓
彰化縣聖榕園老人長期照顧中心  514彰化縣溪湖鎮東溪里榕樹路130號
彰化縣陽光弱勢團體關懷協會   515彰化縣大村鄉過溝村中正西路278號
新故鄉文教基金會    545南投縣埔里鎮545南投縣埔里鎮西安路一段259號
桃園縣榮興志願服務協會 320桃園縣中壢市合圳北路二段95巷30弄13號
法律扶助金金會澎湖分會 880澎湖縣馬公市澎湖縣馬公市中華路100號
法律扶助金金會金門分會 893金門縣金城鎮金門縣金城鎮中興路198號
澎湖縣私立感恩養護中心 884澎湖縣白沙鄉澎湖縣白沙鄉中屯村100號
社團法人中華民國失智者照顧協會 408台中市南屯區文心南三路126號
社團法人中華民國婦女會總會   100台北市中正區重慶南路二段59號2樓
社團法人中華民國生活調適愛心會 110台北市信義區松德路309號一樓
社團法人南投縣基督教青年會行政中心   542南投縣草屯鎮炎峰街2-4號
社團法人南投縣麻煩小天使協會  540南投縣南投市光輝里虎山路104號
社團法人台中市自閉症教育協進會 408台中市南屯區東興路一段450號
社團法人台中縣國龍愛心協會   434台中市龍井區東海里藝術北街172號
社團法人台北市彩虹心服務協會  104台北市中山區松江路156巷20號2樓
社團法人台北市瞽者福利協進會  108台北市萬華區昆明街142號6樓之17
社團法人台南市佑明視障協進會  708台南市安平區建平九街七十二號
社團法人台南市南瀛社會福利推展協會   730台南市新營區民生路126號
社團法人台南市女性權益促進會  700台南市中西區南門路237巷10號3樓
社團法人台南市美好社區關懷協會 704台南市北區大興街285巷26弄9號
社團法人台灣彩虹愛家生命教育協會    800高雄市新興區七賢一路467號
社團法人台灣身心障礙者福祉協會 710台南市永康區永大路一段七號
社團法人台灣長期照護專業協會  106台北市大安區溫州街16巷4-1號1樓
